id,name,job,gender,city,salary,birthday
1,Benny Battany,scientist,Female,San Jose,2181,1985-07-12
2,Lloyd Fearick,actor,Male,San Diego,7362,1961-07-21
3,Germain Warcup,actor,Male,San Jose,1566,1991-04-08
4,Nonnah Govini,engineer,Female,San Diego,9106,1962-12-16
5,Clarita Acott,engineer,Female,San Jose,1593,1992-02-04
6,Kippie Cruce,scientist,Male,New York,1918,1962-02-10
7,Milton Follin,pilot,Male,Houston,2435,1996-11-05
8,Bay Crisall,teacher,Male,Dallas,3701,1965-11-07
9,Rubie Sanger,artist,Female,New York,4098,1998-03-24
10,Charlton Wheelan,writer,Male,San Jose,3881,1998-03-14
11,Reamonn Jeannesson,actor,Male,Phoenix,6025,1992-06-25
12,Gennie Rosenkranc,pilot,Female,New York,5933,1975-09-06
13,Cecilia Pate,scientist,Female,Houston,4207,1977-07-04
14,Beau Crilley,pilot,Male,Phoenix,5425,1967-05-21
15,Franciskus Slyde,teacher,Male,Los Angeles,7769,1981-12-03
16,Jaynell Gabbetis,chef,Female,San Jose,8197,1994-01-22
17,Hamid Antic,teacher,Male,Phoenix,4572,1999-09-03
18,Ryun Ondrusek,lawyer,Male,San Jose,3046,1966-04-02
19,Giacomo Simanenko,writer,Male,Philadelphia,6322,1980-08-01
20,Flinn Scott,scientist,Male,Philadelphia,6001,1976-10-07
21,Tyrus Gauden,artist,Male,Chicago,7581,1966-07-10
22,Leontine Padrick,engineer,Female,Los Angeles,5652,1991-04-01
23,Marcile Marshall,writer,Female,Phoenix,1511,1989-08-19
24,Field Beardshaw,doctor,Male,Phoenix,1517,1968-03-12
25,Arlana Dulen,artist,Female,San Antonio,4216,2000-04-29
26,Dosi Dartan,teacher,Female,Chicago,3575,1999-10-13
27,Lisle Palin,lawyer,Male,Chicago,6655,1964-05-24
28,Birk Boriston,chef,Male,San Antonio,8142,1962-05-09
29,Kalli Lavarack,scientist,Female,San Antonio,6982,1984-11-04
30,Jose Rodolico,doctor,Male,Philadelphia,2275,1988-09-13
31,Carlen Rushforth,artist,Female,Phoenix,7906,1961-10-31
32,Cordelie Landa,teacher,Female,San Antonio,4677,1962-04-11
33,Cart Woodvine,doctor,Male,Dallas,9310,1995-01-26
34,Baillie Lindup,actor,Male,San Antonio,4822,1986-07-22
35,Celinka Tyhurst,writer,Female,San Antonio,6648,1967-12-30
36,Otho Zarfati,chef,Male,Philadelphia,4726,1961-05-08
37,Gale Hopfer,actor,Female,Dallas,9515,1973-09-03
38,Symon Stoute,actor,Male,San Antonio,9693,1979-02-17
39,Carlina Winnard,doctor,Female,Dallas,5384,1981-10-24
40,Goddard Ranner,actor,Male,Houston,2416,1995-01-16
41,Renata Shevelin,actor,Female,Dallas,1292,1969-04-17
42,Lula Hamstead,doctor,Female,Philadelphia,7634,1994-02-23
43,Elisabeth Kille,pilot,Female,Houston,7874,1991-10-17
44,Pauli Spours,artist,Female,San Antonio,5894,1961-06-11
45,Francois Cahey,writer,Male,Los Angeles,6494,1981-10-30
46,Alexis Ginley,engineer,Male,Los Angeles,9783,1972-08-16
47,Putnem Bownass,engineer,Male,Houston,8557,1984-06-01
48,Angela Cosgrive,artist,Female,Chicago,5331,1993-04-20
49,Ellwood Tredgold,actor,Male,New York,1588,1965-10-03
50,Traver Helleker,actor,Male,Philadelphia,5518,1986-01-23
